NOMBRE,GARMINCODE,GIROTIPO,TELEFONO,NOMBRE_VIA,CUADRA,URBANIZACI,DIRECCION,DISTRITO,PROVINCIA,DEPARTAMEN,PAIS,LONGITUDE,LATITUDE
Oficina de Normalizacion Previsional - ONP,0x3003,public office,634-2222,CA OMEGA,2,UB PARQUE INTERNACIONAL DE INDUSTRIA Y COMERCIO,OMEGA 252 MZ. I LT. 3,CALLAO,CALLAO,CALLAO,PERU,-77.085814,-12.050651
Vista del Sol,0x2b01,hotel,,AV FAUCETT,17,UB SAN JOSE,,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.097167,-12.059958
Condominio el Prado de San Jose,0x6402,edificio,,AV OSCAR R BENAVIDES,51,COND ALAMEDA COLONIAL,,CALLAO,CALLAO,CALLAO,PERU,-77.091477,-12.052072
Hotel Dominicos,0x2b01,hotel,,AV DOMINICOS,6,UB JORGE CHAVEZ 2 ETAPA,,CALLAO,CALLAO,CALLAO,PERU,-77.093886,-12.015652
Parroquia Cristo Liberador,0x2c0b,iglesia,,JR AVELLANAS,,UB PREVI 2 ETAPA,,CALLAO,CALLAO,CALLAO,PERU,-77.091775,-12.018058
Paradero San Pedro,0x2f08,paradero,,AV ACCESO A,,AH SECTOR J BARRIO XX GRUPO RESIDENCIAL 4,,VENTANILLA,CALLAO,CALLAO,PERU,-77.151544,-11.847506
Parroquia Virgen de Fatima,0x2c0b,iglesia,,AV PACHACUTEC DERECHO,,,,VENTANILLA,CALLAO,CALLAO,PERU,-77.148854,-11.842502
Colegio Jose Razuri Esteros,0x2c05,colegio,,,,AH LA LIBERTAD,,VENTANILLA,CALLAO,CALLAO,PERU,-77.130014,-11.846942
Santa Maria,0x2c05,colegio,,AV CONSTRUCTORES,,,,VENTANILLA,CALLAO,CALLAO,PERU,-77.142839,-11.853429
Nuestra Se?ora de Guadalupe,0x2c05,colegio,,AV 200 MILLAS,,AH SECTOR F BARRIO XIII GRUPO RESIDENCIAL 1,,VENTANILLA,CALLAO,CALLAO,PERU,-77.1421,-11.840993
Iglesia Adventista,0x2c0b,iglesia,,AV 200 MILLAS,,"AH SECTOR F BARRIO XIII GRUPO RESIDENCIAL 2,3",,VENTANILLA,CALLAO,CALLAO,PERU,-77.139865,-11.844714
Lima Outlet Center,0x2e01,mall,,AV FAUCETT,34,,AV. ELMER FAUCETT 3443,CALLAO,CALLAO,CALLAO,PERU,-77.108064,-12.018956
El Amanecer Loretano,0x2b00,hostal,,AV NESTOR GAMBETTA,,ASOC LAS PALMERAS DE OQUENDO,,CALLAO,CALLAO,CALLAO,PERU,-77.124739,-11.972635
Seguridad Ciudadana,0x3001,serenazgo,,AV ALFREDO PALACIOS,7,AH VIRGEN DE FATIMA,,CALLAO,CALLAO,CALLAO,PERU,-77.125801,-12.051413
Seguridad Ciudadana,0x3001,serenazgo,,AV ALFREDO PALACIOS,1,,,CALLAO,CALLAO,CALLAO,PERU,-77.121673,-12.057752
Hostal Nueva Zelandia,0x2b01,hotel,,AV PACIFICO,5,UB SANTA LUISA,,LA PERLA,CALLAO,CALLAO,PERU,-77.109967,-12.072689
Municipalidad de Ventanilla,0x3003,public office,,AV PLAYA,,AH EX ZONA COMERCIAL E INDUSTRIAL DE VENTANILLA,,VENTANILLA,CALLAO,CALLAO,PERU,-77.127753,-11.877167
